Unnamed: 0,course_title,course_organization,course_difficulty,course_students_enrolled,category
539,business writing,university of colorado boulder,beginner,48000.0,business
23,business and financial modeling,university of pennsylvania,beginner,160000.0,business
662,c for everyone programming fundamentals,university of california santa cruz,beginner,31000.0,programming
222,c programming for unity game development,university of colorado system,beginner,36000.0,development
21,covid contact tracing,johns hopkins university,beginner,220000.0,other
450,covid what you need to know cme eligible,osmosis,beginner,32000.0,other
525,cameras exposure and photography,michigan state university,mixed,130000.0,other
107,camino a la excelencia en gestin de proyectos,pontificia universidad catlica de chile,beginner,340000.0,other
536,capstone retrieving processing and visualizing data with python,university of michigan,mixed,82000.0,data
44,career success,university of california irvine,beginner,790000.0,other
736,challenging forensic science how science should speak to court,university of lausanne,beginner,31000.0,science
718,chemicals and health,johns hopkins university,beginner,23000.0,health
726,chicken behaviour and welfare,the university of edinburgh,mixed,19000.0,other
161,child nutrition and cooking,stanford university,beginner,30000.0,other
737,chinese for hsk ,peking university,beginner,22000.0,other
95,cisco networking basics,cisco,beginner,57000.0,other
848,classical sociological theory,university of amsterdam,mixed,51000.0,other
197,claves de la direccin de empresas,iese business school,beginner,51000.0,other
457,climate change and health from science to action,yale university,beginner,4800.0,science
275,clinical terminology for international and us students,university of pittsburgh,beginner,32000.0,other
349,cloud computing,university of illinois at urbanachampaign,intermediate,110000.0,cloud
777,cloud computing basics cloud ,learnquest,beginner,37000.0,cloud
9,cloud engineering with google cloud,google cloud,intermediate,310000.0,cloud
276,coaching skills for managers,university of california davis,intermediate,37000.0,other
655,code yourself an introduction to programming,the university of edinburgh,beginner,120000.0,programming
709,communication skills for engineers,rice university,beginner,15000.0,other
305,communication strategies for a virtual age,university of toronto,beginner,43000.0,other
890,compassionate leadership through service learning with jane goodall and roots  shoots,university of colorado boulder,beginner,6400.0,leadership
406,competencias digitales herramientas de ofimtica microsoft word excel power point,universitat autnoma de barcelona,beginner,43000.0,digital
474,competitive strategy and organization design,ludwigmaximiliansuniversitt mnchen lmu,intermediate,350000.0,design
391,computational social science,university of california davis,beginner,5800.0,science
221,computational thinking for problem solving,university of pennsylvania,beginner,33000.0,other
621,computer security and systems management,university of colorado system,beginner,27000.0,management
439,conflict management,university of california irvine,beginner,66000.0,management
728,construction cost estimating and cost control,columbia university,beginner,19000.0,other
48,construction management,columbia university,beginner,61000.0,management
290,construction project management,columbia university,beginner,43000.0,management
794,construction scheduling,columbia university,beginner,15000.0,other
300,contabilidad para no contadores,universidad nacional autnoma de mxico,beginner,220000.0,other
273,content strategy for professionals,northwestern university,beginner,27000.0,strategy
448,continuous delivery  devops,university of virginia,beginner,26000.0,other
815,control of mobile robots,georgia institute of technology,mixed,49000.0,other
207,convolutional neural networks,deeplearningai,intermediate,240000.0,other
358,convolutional neural networks in tensorflow,deeplearningai,intermediate,46000.0,other
725,corporate  commercial law i contracts  employment law,university of illinois at urbanachampaign,intermediate,10000.0,law
458,corporate finance essentials,iese business school,mixed,56000.0,finance
714,corporate strategy,ucl school of management,beginner,7800.0,strategy
301,corporate sustainability understanding and seizing the strategic opportunity,universit bocconi,mixed,10000.0,ai
691,correccin estilo y  variaciones de la lengua espaola,universitat autnoma de barcelona,beginner,75000.0,other
854,cost and economics in pricing strategy,university of virginia,beginner,15000.0,strategy
544,costos para los negocios,universidad de chile,intermediate,43000.0,other
179,crash course on python,google,beginner,81000.0,python
463,creative problem solving,university of minnesota,mixed,140000.0,other
59,creative writing,wesleyan university,beginner,140000.0,other
371,creative writing the craft of plot,wesleyan university,mixed,120000.0,other
793,creatividad diseo e innovacin tcnicas y herramientas,arizona state university,beginner,150000.0,other
678,cuidado de heridas en el mbito hospitalario,universidad nacional autnoma de mxico,intermediate,26000.0,other
730,cuidados y procedimientos generales en la atencin del recin nacido,universidad de chile,intermediate,22000.0,other
248,culturedriven team building,university of pennsylvania,beginner,17000.0,other
820,curanderismo traditional healing using plants,university of new mexico,beginner,5500.0,other
566,customer segmentation and prospecting,northwestern university,beginner,18000.0,other
372,cybersecurity,university of maryland college park,intermediate,99000.0,other
821,cybersecurity and its ten domains,university system of georgia,beginner,140000.0,ai
497,cybersecurity for business,university of colorado system,beginner,23000.0,business
800,cmo hablar bien en pblico,universitat autnoma de barcelona,beginner,55000.0,other
764,dairy production and management,the pennsylvania state university,mixed,23000.0,management
812,data analysis and interpretation,wesleyan university,beginner,100000.0,data
39,data analysis and presentation skills the pwc approach,pwc,beginner,220000.0,data
277,data analysis with python,ibm,beginner,110000.0,data
605,data analytics for lean six sigma,university of amsterdam,beginner,24000.0,data
783,data collection and processing with python,university of michigan,intermediate,19000.0,data
679,data engineering on google cloud platform ,google cloud,intermediate,3000.0,data
22,data engineering with google cloud,google cloud,intermediate,120000.0,data
24,data engineering big data and machine learning on gcp,google cloud,intermediate,120000.0,data
383,data management for clinical research,vanderbilt university,beginner,42000.0,data
434,data mining,university of illinois at urbanachampaign,intermediate,140000.0,data
13,data science,johns hopkins university,beginner,830000.0,data
399,data science math skills,duke university,beginner,140000.0,data
198,data science methodology,ibm,beginner,89000.0,data
15,data science foundations using r,johns hopkins university,beginner,740000.0,data
148,data science statistics and machine learning,johns hopkins university,intermediate,210000.0,data
686,data visualization and communication with tableau,duke university,mixed,130000.0,data
804,data visualization with advanced excel,pwc,beginner,60000.0,data
420,data visualization with python,ibm,intermediate,66000.0,data
70,data visualization with tableau,university of california davis,beginner,96000.0,data
288,data warehousing for business intelligence,university of colorado system,advanced,140000.0,data
871,data and health indicators in public health practice,johns hopkins university,beginner,18000.0,data
376,datadriven decision making,pwc,beginner,120000.0,data
263,databases and sql for data science,ibm,beginner,110000.0,data
519,demystifying mindfulness,universiteit leiden,beginner,150000.0,other
813,decisionmaking and scenarios,university of pennsylvania,mixed,31000.0,other
5,deep learning,deeplearningai,intermediate,690000.0,other
599,democracia y decisiones pblicas introduccin al anlisis de polticas pblicas,universitat autnoma de barcelona,beginner,44000.0,other
806,dentistry ,university of michigan,beginner,4500.0,other
627,dermatology trip to skin,novosibirsk state university ,beginner,8200.0,other
100,design thinking for innovation,university of virginia,beginner,240000.0,design
674,design thinking for the greater good innovation in the social sector,university of virginia,beginner,17000.0,design
139,design and interpretation of clinical trials,johns hopkins university,mixed,67000.0,design
522,design and make infographics projectcentered course,michigan state university,mixed,97000.0,design
430,designled strategy design thinking for business strategy and entrepreneurship,the university of sydney,intermediate,19000.0,business
338,developing apis with google clouds apigee api platform,google cloud,intermediate,16000.0,cloud
18,developing applications with google cloud platform,google cloud,intermediate,300000.0,cloud
644,developing applications with google cloud platform ,google cloud,intermediate,4000.0,cloud
720,developing industrial internet of things,university of colorado boulder,intermediate,8000.0,other
756,developing your musicianship,berklee college of music,mixed,41000.0,other
205,developing your musicianship,berklee college of music,beginner,54000.0,other
397,devenir entrepreneur du changement,ticket for change,mixed,54000.0,other
239,digital advertising strategy,university of colorado boulder,beginner,9000.0,strategy
855,digital business models,lund university,beginner,21000.0,business
237,digital manufacturing  design technology,university at buffalo,beginner,37000.0,design
28,digital marketing,university of illinois at urbanachampaign,beginner,380000.0,marketing
852,digital media and marketing strategies,university of illinois at urbanachampaign,mixed,57000.0,marketing
53,digital product management,university of virginia,beginner,140000.0,management
381,digital product management modern fundamentals,university of virginia,beginner,58000.0,management
490,dino  dinosaur paleobiology,university of alberta,beginner,35000.0,other
697,discrete optimization,the university of melbourne,intermediate,40000.0,other
675,diseo instruccional aprendizaje activo y pedagoga digital,tecnolgico de monterrey,beginner,4000.0,digital
711,diseo y creacin de un emprendimiento social,pontificia universidad catlica de chile,beginner,21000.0,social
378,divide and conquer sorting and searching and randomized algorithms,stanford university,intermediate,130000.0,other
392,dog emotion and cognition,duke university,mixed,150000.0,other
624,driving business towards the sustainable development goals,erasmus university rotterdam,beginner,5600.0,business
487,drug commercialization,university of california san diego,beginner,17000.0,other
342,drug discovery,university of california san diego,beginner,39000.0,other
166,dynamic public speaking,university of washington,beginner,110000.0,other
832,emt foundations,university of colorado system,beginner,7100.0,other
494,ecology ecosystem dynamics and conservation,american museum of natural history,intermediate,18000.0,other
641,econometrics methods and applications,erasmus university rotterdam,mixed,110000.0,other
229,economics of money and banking,columbia university,mixed,83000.0,other
707,ecosystem services a method for sustainable development,university of geneva,intermediate,16000.0,development
773,effective compliance programs,university of pennsylvania,mixed,3400.0,other
636,egiptologa egyptology,universitat autnoma de barcelona,beginner,46000.0,other
789,el abogado del futuro legaltech y la transformacin digital del derecho,universidad austral,beginner,1500.0,digital
564,elastic google cloud infrastructure scaling and automation,google cloud,intermediate,57000.0,cloud
870,electric industry operations and markets,duke university,beginner,12000.0,other
122,electronic music production,berklee college of music,intermediate,110000.0,other
733,emerging technologies from smartphones to iot to big data,yonsei university,beginner,17000.0,data
267,energy production distribution  safety,university at buffalo,beginner,37000.0,other
461,engineering health introduction to yoga and physiology,new york university,beginner,14000.0,health
560,engineering project management initiating and planning,rice university,beginner,23000.0,management
613,english composition i,duke university,beginner,200000.0,english
225,english for business and entrepreneurship,university of pennsylvania,beginner,230000.0,business
175,english for career development,university of pennsylvania,mixed,760000.0,development
303,english for journalism,university of pennsylvania,mixed,130000.0,english
547,english for research publication purposes,moscow institute of physics and technology,intermediate,42000.0,english
598,english for science technology engineering and mathematics,university of pennsylvania,beginner,110000.0,science
770,enterprise architecture,peter the great st petersburg polytechnic university,beginner,2400.0,other
292,entrepreneurial finance strategy and innovation,duke university,intermediate,7900.0,strategy
33,entrepreneurship,university of pennsylvania,beginner,110000.0,other
246,entrepreneurship  developing the opportunity,university of pennsylvania,mixed,86000.0,other
496,entrepreneurship  launching your startup,university of pennsylvania,mixed,38000.0,other
704,entrepreneurship  growth strategies,university of pennsylvania,beginner,31000.0,other
623,entrepreneurship strategy from ideation to exit,hec paris,beginner,20000.0,strategy
502,entrepreneurship launching an innovative business,university of maryland college park,beginner,69000.0,business
527,epidemics  the dynamics of infectious diseases,the pennsylvania state university,mixed,45000.0,other
570,epidemics pandemics and outbreaks,university of pittsburgh,mixed,23000.0,other
426,epidemiology for public health,imperial college london,beginner,6400.0,health
60,epidemiology in public health practice,johns hopkins university,beginner,31000.0,health
351,epidemiology the basic science of public health,the university of north carolina at chapel hill,mixed,130000.0,science
708,epigenetic control of gene expression,the university of melbourne,mixed,35000.0,other
444,equine welfare and management,university of california davis,beginner,7200.0,management
693,esports,university of california irvine,beginner,1800.0,other
454,essential epidemiologic tools for public health practice,johns hopkins university,beginner,14000.0,health
446,essential google cloud infrastructure core services,google cloud,intermediate,68000.0,cloud
347,essential google cloud infrastructure foundation,google cloud,intermediate,83000.0,cloud
314,essentials in clinical simulations across the health professions,the george washington university,intermediate,4100.0,health
436,essentials of corporate finance,the university of melbourne,intermediate,54000.0,finance
319,essentials of global health,yale university,mixed,31000.0,health
847,estadstica y probabilidad,universidad nacional autnoma de mxico,beginner,27000.0,other
881,evaluacin educativa,universidad nacional autnoma de mxico,beginner,13000.0,other
256,everyday excel part ,university of colorado boulder,beginner,11000.0,other
278,everyday parenting the abcs of child rearing,yale university,beginner,86000.0,other
11,excel skills for business,macquarie university,beginner,240000.0,business
591,excel skills for business advanced,macquarie university,intermediate,39000.0,business
92,excel skills for business essentials,macquarie university,beginner,200000.0,business
218,excel skills for business intermediate i,macquarie university,intermediate,76000.0,business
419,excel skills for business intermediate ii,macquarie university,intermediate,39000.0,business
38,excel to mysql analytic techniques for business,duke university,beginner,490000.0,business
124,excelvba for creative problem solving,university of colorado boulder,beginner,56000.0,other
418,excelvba for creative problem solving part ,university of colorado boulder,beginner,54000.0,other
137,executive data science,johns hopkins university,beginner,170000.0,data
880,explorando la energa sustentable,pontificia universidad catlica de chile,beginner,28000.0,other
99,fashion as design,the museum of modern art,beginner,180000.0,design
509,feminism and social justice,university of california santa cruz,beginner,18000.0,social
442,fintech law and policy,duke university,beginner,9700.0,law
531,fintech finance industry transformation and regulation,the hong kong university of science and technology,beginner,13000.0,finance
453,fintech foundations payments and regulations,university of pennsylvania,beginner,12000.0,other
16,finance  quantitative modeling for analysts,university of pennsylvania,beginner,260000.0,finance
257,finance for nonfinance professionals,rice university,beginner,69000.0,finance
778,finance for nonfinancial managers,emory university,intermediate,12000.0,financial
85,financial accounting fundamentals,university of virginia,beginner,65000.0,financial
396,financial acumen for nonfinancial managers,university of pennsylvania,beginner,10000.0,financial
158,financial engineering and risk management part i,columbia university,mixed,100000.0,management
149,financial management,university of illinois at urbanachampaign,intermediate,76000.0,management
14,financial markets,yale university,beginner,470000.0,financial
259,financial markets and investment strategy,indian school of business,beginner,60000.0,strategy
682,financial reporting,university of illinois at urbanachampaign,intermediate,12000.0,financial
356,financial technology fintech innovations,university of michigan,beginner,6500.0,financial
382,financing and investing in infrastructure,universit bocconi,mixed,24000.0,other
366,finanzas corporativas,universidad nacional autnoma de mxico,intermediate,30000.0,other
552,finanzas personales,universidad nacional autnoma de mxico,mixed,310000.0,other
109,finding purpose and meaning in life living for what matters most,university of michigan,beginner,36000.0,other
66,fintech foundations  applications of financial technology,university of pennsylvania,beginner,20000.0,financial
113,first step korean,yonsei university,beginner,400000.0,other
102,food  beverage management,universit bocconi,mixed,57000.0,management
174,forensic accounting and fraud examination,west virginia university,mixed,42000.0,other
851,formulacin y evaluacin de proyectos complejos,universidad de los andes,intermediate,4400.0,other
337,foundational finance for strategic decision making,university of michigan,beginner,14000.0,finance
721,foundations of business strategy,university of virginia,beginner,63000.0,business
775,foundations of everyday leadership,university of illinois at urbanachampaign,mixed,62000.0,leadership
313,foundations of global health,johns hopkins university,beginner,31000.0,health
209,foundations of management,iese business school,beginner,64000.0,management
569,foundations of marketing analytics,emory university,intermediate,27000.0,marketing
32,foundations of positive psychology,university of pennsylvania,beginner,89000.0,other
521,foundations of public health practice,imperial college london,beginner,3200.0,health
203,from data to insights with google cloud platform,google cloud,beginner,26000.0,data
698,from the big bang to dark energy,the university of tokyo,beginner,52000.0,other
863,frontend web development with react,the hong kong university of science and technology,intermediate,45000.0,development
501,frontend web ui frameworks and tools bootstrap ,the hong kong university of science and technology,intermediate,89000.0,other
108,full stack web and multiplatform mobile app development,the hong kong university of science and technology,intermediate,150000.0,development
89,fullstack web development with react,the hong kong university of science and technology,intermediate,140000.0,development
790,functional programming principles in scala,cole polytechnique fdrale de lausanne,intermediate,170000.0,programming
150,functional programming in scala,cole polytechnique fdrale de lausanne,intermediate,220000.0,programming
441,fundamental neuroscience for neuroimaging,johns hopkins university,beginner,30000.0,science
295,fundamentals of accounting,university of illinois at urbanachampaign,beginner,39000.0,other
164,fundamentals of computing,rice university,beginner,200000.0,other
581,fundamentals of engineering exam review,georgia institute of technology,mixed,49000.0,engineering
425,fundamentals of gis,university of california davis,beginner,86000.0,other
162,fundamentals of graphic design,california institute of the arts,beginner,290000.0,design
130,fundamentals of immunology,rice university,intermediate,20000.0,other
415,fundamentals of immunology innate immunity and bcell function,rice university,intermediate,18000.0,other
633,fundamentals of music theory,the university of edinburgh,beginner,180000.0,other
77,fundamentals of project planning and management,university of virginia,beginner,120000.0,management
165,fundamentals of quantitative modeling,university of pennsylvania,mixed,110000.0,other
475,fundamentals of reinforcement learning,university of alberta,intermediate,22000.0,other
520,fundamentals of visualization with tableau,university of california davis,beginner,81000.0,other
742,fundamentos empresariales,university of pennsylvania,beginner,25000.0,other
857,fundamentos estratgicos empresariales,universidad nacional autnoma de mxico,beginner,56000.0,other
724,fundamentos de excel para negocios,universidad austral,beginner,150000.0,other
388,fundamentos de finanzas empresariales,universidad de los andes,beginner,110000.0,other
705,fundamentos de la escritura,tecnolgico de monterrey,beginner,47000.0,other
370,fundraising and development,university of california davis,beginner,4900.0,development
145,futures thinking,institute for the future,beginner,9400.0,other
115,g suite administration,google cloud,beginner,10000.0,other
286,gis mapping and spatial analysis,university of toronto,beginner,140000.0,analysis
206,game design and development,michigan state university,intermediate,100000.0,design
141,game theory,stanford university,beginner,260000.0,other
268,gamification,university of pennsylvania,mixed,110000.0,other
802,gender and sexuality diversity and inclusion in the workplace,university of pittsburgh,beginner,14000.0,other
76,genomic data science,johns hopkins university,intermediate,80000.0,data
79,geographic information systems  gis,university of california davis,beginner,97000.0,other
694,geopolitics of europe,sciences po,mixed,19000.0,other
567,geopoltica y gobernanza global riesgos y oportunidades,esade business and law school,mixed,34000.0,other
650,gestin de organizaciones efectivas,pontificia universidad catlica de chile,mixed,47000.0,other
540,get interactive practical teaching with technology,bloomsbury learning exchange,beginner,14000.0,other
681,getting started with music theory,michigan state university,beginner,59000.0,other
568,getting started with aws machine learning,amazon web services,intermediate,73000.0,machine
734,getting started with go,university of california irvine,intermediate,59000.0,other
422,getting started with google kubernetes engine,google cloud,intermediate,75000.0,other
411,getting started with google sheets,google cloud,beginner,18000.0,other
538,getting started with sas programming,sas,beginner,22000.0,programming
192,global diplomacy  diplomacy in the modern world,soas university of london,mixed,79000.0,other
400,global diplomacy the united nations in the world,soas university of london,beginner,29000.0,other
643,global energy and climate policy,soas university of london,beginner,10000.0,other
578,global environmental management,technical university of denmark dtu,intermediate,22000.0,management
835,global financial markets and instruments,rice university,mixed,37000.0,financial
761,global financing solutions  by edhec and socit gnrale,edhec business school,intermediate,3600.0,other
740,global trends for business and society,university of pennsylvania,mixed,7600.0,business
717,globalization economic growth and stability,ie business school,intermediate,44000.0,other
355,good with words writing and editing,university of michigan,beginner,3800.0,other
227,google cloud platform big data and machine learning fundamentals,google cloud,intermediate,120000.0,data
849,google cloud platform fundamentals for aws professionals,google cloud,intermediate,36000.0,cloud
25,google it automation with python,google,beginner,93000.0,python
4,google it support,google,beginner,350000.0,other
385,grammar and punctuation,university of california irvine,mixed,430000.0,other
513,graphic design elements for nondesigners,university of colorado boulder,beginner,10000.0,design
287,greek and roman mythology,university of pennsylvania,mixed,260000.0,other
369,greening the economy sustainable cities,lund university,beginner,56000.0,ai
757,guitar for beginners,berklee college of music,mixed,210000.0,other
710,gut check exploring your microbiome,university of california san diego,mixed,62000.0,other
329,html css and javascript for web developers,johns hopkins university,mixed,240000.0,other
231,habilidades gerenciales,universidad nacional autnoma de mxico,beginner,43000.0,other
785,hacia una prctica constructivista en el aula,pontificia universidad catlica de chile,mixed,62000.0,other
803,hardware description languages for fpga design,university of colorado boulder,intermediate,7400.0,design
429,healing with the arts,university of florida,mixed,39000.0,other
244,health informatics,johns hopkins university,beginner,8100.0,health
739,health information literacy for data analytics,university of california davis,intermediate,5400.0,data
373,healthcare law,university of pennsylvania,intermediate,1700.0,health
423,healthcare marketplace,university of minnesota,beginner,36000.0,health
596,healthcare organization operations,rutgers the state university of new jersey,beginner,5500.0,health
845,high performance collaboration leadership teamwork and negotiation,northwestern university,mixed,46000.0,leadership
700,homeland security and cybersecurity,university of colorado system,beginner,5500.0,other
177,hotel management distribution revenue and demand management,essec business school,beginner,28000.0,management
554,how things work an introduction to physics,university of virginia,intermediate,170000.0,other
767,how to create a website in a weekend projectcentered course,the state university of new york,mixed,140000.0,other
609,how to start your own business,michigan state university,beginner,34000.0,business
52,human resource management hr for people managers,university of minnesota,beginner,98000.0,management
34,ibm ai engineering,ibm,intermediate,140000.0,engineering
571,ibm ai enterprise workflow,ibm,advanced,3500.0,ai
12,ibm applied ai,ibm,beginner,220000.0,ai
408,ibm customer engagement specialist professional certificate,ibm,beginner,3300.0,other
0,ibm data science,ibm,beginner,480000.0,data
98,it fundamentals for cybersecurity,ibm,beginner,35000.0,other
476,it security defense against the digital dark arts,google,beginner,62000.0,digital
856,identifying monitoring and analyzing risk and incident response and recovery,isc,beginner,1700.0,other
562,implementacin del marketing mix,ie business school,beginner,23000.0,marketing
640,implementing rpa with cognitive automation and analytics,automation anywhere,beginner,2200.0,analytics
36,improve your english communication skills,georgia institute of technology,beginner,610000.0,english
123,improving deep neural networks hyperparameter tuning regularization and optimization,deeplearningai,beginner,270000.0,other
748,improving leadership  governance in nonprofit organizations,luther college at the university of regina,beginner,18000.0,leadership
318,in the studio postwar abstract painting,the museum of modern art,beginner,79000.0,ai
